id,name
17,KABUPATEN BADUNG
32,KABUPATEN BANGLI
94,KABUPATEN BULELENG
114,KOTA DENPASAR
128,KABUPATEN GIANYAR
161,KABUPATEN JEMBRANA
170,KABUPATEN KARANGASEM
197,KABUPATEN KLUNGKUNG
447,KABUPATEN TABANAN
27,KABUPATEN BANGKA
28,KABUPATEN BANGKA BARAT
29,KABUPATEN BANGKA SELATAN
30,KABUPATEN BANGKA TENGAH
56,KABUPATEN BELITUNG
57,KABUPATEN BELITUNG TIMUR
334,KOTA PANGKAL PINANG
106,KOTA CILEGON
232,KABUPATEN LEBAK
331,KABUPATEN PANDEGLANG
402,KABUPATEN SERANG
403,KOTA SERANG
455,KABUPATEN TANGERANG
456,KOTA TANGERANG
457,KOTA TANGERANG SELATAN
62,KOTA BENGKULU
63,KABUPATEN BENGKULU SELATAN
64,KABUPATEN BENGKULU TENGAH
65,KABUPATEN BENGKULU UTARA
175,KABUPATEN KAUR
183,KABUPATEN KEPAHIANG
233,KABUPATEN LEBONG
294,KABUPATEN MUKOMUKO
379,KABUPATEN REJANG LEBONG
397,KABUPATEN SELUMA
39,KABUPATEN BANTUL
135,KABUPATEN GUNUNG KIDUL
210,KABUPATEN KULON PROGO
419,KABUPATEN SLEMAN
501,KOTA YOGYAKARTA
151,KOTA JAKARTA BARAT
152,KOTA JAKARTA PUSAT
153,KOTA JAKARTA SELATAN
154,KOTA JAKARTA TIMUR
155,KOTA JAKARTA UTARA
189,KABUPATEN KEPULAUAN SERIBU
77,KABUPATEN BOALEMO
88,KABUPATEN BONE BOLANGO
129,KABUPATEN GORONTALO
130,KOTA GORONTALO
131,KABUPATEN GORONTALO UTARA
361,KABUPATEN POHUWATO
50,KABUPATEN BATANG HARI
97,KABUPATEN BUNGO
156,KOTA JAMBI
194,KABUPATEN KERINCI
280,KABUPATEN MERANGIN
293,KABUPATEN MUARO JAMBI
393,KABUPATEN SAROLANGUN
442,KOTA SUNGAIPENUH
460,KABUPATEN TANJUNG JABUNG BARAT
461,KABUPATEN TANJUNG JABUNG TIMUR
471,KABUPATEN TEBO
22,KABUPATEN BANDUNG
23,KOTA BANDUNG
24,KABUPATEN BANDUNG BARAT
34,KOTA BANJAR
54,KABUPATEN BEKASI
55,KOTA BEKASI
78,KABUPATEN BOGOR
79,KOTA BOGOR
103,KABUPATEN CIAMIS
104,KABUPATEN CIANJUR
107,KOTA CIMAHI
108,KABUPATEN CIREBON
109,KOTA CIREBON
115,KOTA DEPOK
126,KABUPATEN GARUT
149,KABUPATEN INDRAMAYU
171,KABUPATEN KARAWANG
211,KABUPATEN KUNINGAN
252,KABUPATEN MAJALENGKA
332,KABUPATEN PANGANDARAN
376,KABUPATEN PURWAKARTA
428,KABUPATEN SUBANG
430,KABUPATEN SUKABUMI
431,KOTA SUKABUMI
440,KABUPATEN SUMEDANG
468,KABUPATEN TASIKMALAYA
469,KOTA TASIKMALAYA
37,KABUPATEN BANJARNEGARA
41,KABUPATEN BANYUMAS
49,KABUPATEN BATANG
76,KABUPATEN BLORA
91,KABUPATEN BOYOLALI
92,KABUPATEN BREBES
105,KABUPATEN CILACAP
113,KABUPATEN DEMAK
134,KABUPATEN GROBOGAN
163,KABUPATEN JEPARA
